Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
K2,6,22732.37941635932,22688.8578678743,-11338.42491441375,n/a,n/a,2.959485338853857,0.25,0.25,0.25,0.25,0.03,0.03,0.19,0.03,0.19,0.03,0.03,0.19,0.03,0.19,0.03,0.03
T92,7,22737.17947847357,22686.40567944142,-11336.19747984322,n/a,n/a,2.957271137510324,0.2431618209640398,0.2431618209640398,0.2568381790359602,0.2568381790359602,0.03,0.03,0.19,0.03,0.19,0.03,0.03,0.18,0.03,0.18,0.03,0.03
K2+I,7,22742.29335370663,22691.51955467448,-11338.75441745975,0,n/a,2.974399600847233,0.25,0.25,0.25,0.25,0.03,0.03,0.19,0.03,0.19,0.03,0.03,0.19,0.03,0.19,0.03,0.03
GTR,13,22745.6438884425,22651.36464134592,-11312.66489106178,n/a,n/a,2.51201092517203,0.2427314460596786,0.2435921958684009,0.2581293037490436,0.2555470543228768,0.02,0.05,0.18,0.02,0.19,0.05,0.05,0.18,0.02,0.17,0.05,0.02
T92+I,8,22747.08608085677,22689.06041467573,-11336.52331540717,0,n/a,2.972174241084191,0.2431618209640398,0.2431618209640398,0.2568381790359602,0.2568381790359602,0.03,0.03,0.19,0.03,0.19,0.03,0.03,0.18,0.03,0.18,0.03,0.03
K2+G,7,22748.06637287363,22697.29257384147,-11341.64092704325,n/a,200,2.965886650778133,0.25,0.25,0.25,0.25,0.03,0.03,0.19,0.03,0.19,0.03,0.03,0.19,0.03,0.19,0.03,0.03
T92+G,8,22752.87455872588,22694.84889254484,-11339.41755434172,n/a,200,2.963667660158141,0.2431618209640398,0.2431618209640398,0.2568381790359602,0.2568381790359602,0.03,0.03,0.19,0.03,0.19,0.03,0.03,0.18,0.03,0.18,0.03,0.03
TN93,10,22754.37360767578,22681.84535783217,-11330.91214756137,n/a,n/a,2.530358479258072,0.2427314460596786,0.2435921958684009,0.2581293037490436,0.2555470543228768,0.03,0.04,0.18,0.03,0.19,0.04,0.03,0.18,0.04,0.17,0.03,0.04
GTR+I,14,22754.89873607777,22653.3699245355,-11312.66484925175,0,n/a,2.512042082227828,0.2427314460596786,0.2435921958684009,0.2581293037490436,0.2555470543228768,0.02,0.05,0.18,0.02,0.19,0.05,0.05,0.18,0.02,0.17,0.05,0.02
HKY,9,22755.48333869598,22690.2061888744,-11336.09447869912,n/a,n/a,2.957332506296043,0.2427314460596786,0.2435921958684009,0.2581293037490436,0.2555470543228768,0.03,0.03,0.19,0.03,0.19,0.03,0.03,0.18,0.03,0.18,0.03,0.03
K2+G+I,8,22757.9938533588,22699.96818717776,-11341.97720165818,0,200,2.980918373029546,0.25,0.25,0.25,0.25,0.03,0.03,0.19,0.03,0.19,0.03,0.03,0.19,0.03,0.19,0.03,0.03
GTR+G,14,22761.4688776436,22659.94006610134,-11315.94992003467,n/a,200,2.518732362225032,0.2427314460596786,0.2435921958684009,0.2581293037490436,0.2555470543228768,0.02,0.05,0.18,0.02,0.19,0.05,0.05,0.18,0.02,0.17,0.05,0.02
T92+G+I,9,22762.78183763936,22697.50468781778,-11339.74372817081,0,200,2.978688136109677,0.2431618209640398,0.2431618209640398,0.2568381790359602,0.2568381790359602,0.03,0.03,0.19,0.03,0.19,0.03,0.03,0.18,0.03,0.18,0.03,0.03
TN93+I,11,22763.62839622416,22683.84943008721,-11330.91207620791,0,n/a,2.530358477064783,0.2427314460596786,0.2435921958684009,0.2581293037490436,0.2555470543228768,0.03,0.04,0.18,0.03,0.19,0.04,0.03,0.18,0.04,0.17,0.03,0.04
HKY+I,10,22765.39852060521,22692.8702707616,-11336.42460402609,0,n/a,2.972235919136571,0.2427314460596786,0.2435921958684009,0.2581293037490436,0.2555470543228768,0.03,0.03,0.19,0.03,0.19,0.03,0.03,0.18,0.03,0.18,0.03,0.03
TN93+G,11,22770.17653543294,22690.39756929599,-11334.1861458123,n/a,200,2.537346222008809,0.2427314460596786,0.2435921958684009,0.2581293037490436,0.2555470543228768,0.03,0.04,0.18,0.03,0.19,0.04,0.03,0.18,0.04,0.17,0.03,0.04
GTR+G+I,15,22770.72170889253,22661.94371707446,-11315.94887003149,0,200,2.518732221061401,0.2427314460596786,0.2435921958684009,0.2581293037490436,0.2555470543228768,0.02,0.05,0.18,0.02,0.19,0.05,0.05,0.18,0.02,0.17,0.05,0.02
HKY+G,10,22771.17889620905,22698.65064636544,-11339.314791828,n/a,200,2.963729161683407,0.2427314460596786,0.2435921958684009,0.2581293037490436,0.2555470543228768,0.03,0.03,0.19,0.03,0.19,0.03,0.03,0.18,0.03,0.18,0.03,0.03
TN93+G+I,12,22779.43395901905,22692.40466042768,-11334.1873919777,0,200,2.537387495650893,0.2427314460596786,0.2435921958684009,0.2581293037490436,0.2555470543228768,0.03,0.04,0.18,0.03,0.19,0.04,0.03,0.18,0.04,0.17,0.03,0.04
HKY+G+I,11,22781.09340453146,22701.31443839451,-11339.64458036156,0,200,2.978749949337294,0.2427314460596786,0.2435921958684009,0.2581293037490436,0.2555470543228768,0.03,0.03,0.19,0.03,0.19,0.03,0.03,0.18,0.03,0.18,0.03,0.03
JC,5,23751.43715647144,23715.16824182172,-11852.58125009746,n/a,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+I,6,23760.68573292821,23717.16418444318,-11852.57807269819,0,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G,6,23768.2643932135,23724.74284472848,-11856.36740284084,n/a,200,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G+I,7,23777.51280443882,23726.73900540666,-11856.36414282584,0,200,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
